path,title,authors,year
1973papers/paper05_04.pdf,1.;.,J Jollnston N:ival Rese:irch Laboratory E. O. IIulburt Ccntcr for Space Rcsearch ~,1973
1973papers/paper05_10.pdf,FACILITIES AND SERV1CF:S,IN THE TIMb: IIPIPARTMENT OF THb: KOYAL GREENWICH OBSERVATOIIY H. M. Srnith Royal Greenwich Observatory ITaclsh~xwi Sussex Erlglanri JNTRODUCTION The Royal Greenwich Obscrvntory plays a unique role in Ilrnckccping having 110th natiom:tl rmd international signilicrmcc. When the Observatory,1973
1973papers/paper05_11.pdf,title,authors,1973
1973papers/paper05_05.pdf,DEMONSTMTION,OF INTFRCONTINENTAl DSN CLOClC SY NCHRONIZA 'I'ION T3Y VIASI W. J. T-Turd Jet Propulsion l ak~ou.atory C:~lifoz+ni:~ lnstitutc of '1'c~cllnolog-y 'l'hc prototype system foib I)rcp Space Network (DSN) clocli synchroni7:ition by V1 BJ,1973
1973papers/paper05_13.pdf,SUBMICROSECONTI,TIME 'I'IZANSFEK BETWEEN THE UNIT ED STATES UNITEL) KINGI)C>M AND AIJSTlUTIA VIA SATE I IAIT E It. L. Easton Naval Jtesearch Lak)or:ttory P. Morgan Austr:ilian Uivision of Natiorinl ilTnpping Uuring,1973
1973papers/paper05_07.pdf,A. Alpert,P. Liposchak Ncw:irl; A i r Forcc Station The Aerospace Guidance R. Met:-ology Center (AGMC) has the responsjbility for the dissemination of Precise Tilrlc mid Time Intcrval (I'TTI) to A l r Force timing systcrns requiring rnjcroseconcl tin]?.,1973
1973papers/paper05_06.pdf,@,THE AUTOMATEr) ASTRONORI'IIC POSITIONING SYSTEM (AAPS) 0. W. Williams I)efcnsc Mapping Agency The C:ontrol Data C:orporation Minne:tpolis Minnesota under contract to A i r Force Cambridge Kesearch Laboratories L. G. IInnscom Ficld Bedford Massachusetts has recently delivered two prototype systems of The Automated Astronomic Positioning System (AAPS) to LIMA. The AAPS was developed to,1973
1973papers/paper05_12.pdf,SOME,SERVICES O F TIIE TIME AND FREQUENCY DIVISION OF TIIE NATIONAL BUREAU O F STANDARDS 3. A. Barnes National Bureau of Standarcls Houlder The Time and Frecjuency,1973
1973papers/paper05_16.pdf,3,gr.0~11 of jlew high-pe~formnncr ccsiunl i~cnrn lubc.s (1-Tcwlctt--I';icl.:nrtl Modcl 5UGlX Optiorl 004) a t t l ~ c U. S. Nnvxl Ql~servatory is analyzed from twc: viewpoints: (I) by co~n1p:trison,1973
1973papers/paper05_02.pdf,HA13,I 0 INTERF EROMETRlC EARTH PHYSICS 3. B. Thom:ts 11. F. Fliegel Jet Propulsion L;lboratory ABSTKACT Two systems of VLRI (Very Long Baselinc Tntcrferometry) a t J. P. L. a r c now applicable to earth physics: :In intercontinental baselinc system using :~ntennas of,1973
1973papers/paper05_03.pdf,TIME,GEODESY AND ASTROMETRY: RESITLTS FROM M.DIO INTERFEROMETRY 'l'. A. Clarlc C: oddard Space Flight Center I. I. Shapiro Massachusetts Institute of Teclmology,1973
1973papers/paper05_17.pdf,BULB-LARGE,"STORAGE: BOX HYDROGEN MASER V. Reinhardt"" Harvard Unjvcrsity",1973
1973papers/paper05_01.pdf,K.,11. Carnahnn Defense Mapping Agency The nefensc Mapping Agency as well ;is its predcccssors llas bccn a user of tin?(. for :I number of ycnrs as p:~rt of (lie geodetic :~stronomy :111tl satellite geoclcsy programs. John Harrison's clock opened t l ~,1973
